name,Code,Department,Year,Term,Credits,Lecturer,Core Natural Sciences,Core Mathematics,Core Physics (BPhys),Core Biological Sciences,Core Biochemistry,Core Biological and Medicinal Chemistry,Physics (MPhys),Pre Req,Co Req,Natural Science History,Topic Pathway,Module Descriptor
Mathematics and Computing: Integrative Tools for Natural Sciences ,NSC1002,Natural Sciences,1,"1,2",30,,Y,N,N,N,N,N,N,N/A,N/A,Y,,2020/21 | CEMPS Intranet | University of Exeter
Foundations in Natural Science,NSC1003,Natural Sciences,1,"1,2",60,,Y,N,N,N,N,N,N,N/A,N/A,Y,,2020/21 | CEMPS Intranet | University of Exeter
Experimental Science,NSC1004,Natural Sciences,1,"1,2",15,,Y,N,N,N,N,N,N,N/A,N/A,Y,,2020/21 | CEMPS Intranet | University of Exeter
Frontiers in Science 1,NSC1005,Natural Sciences,1,"1,2",15,,Y,N,N,N,N,N,N,N/A,N/A,Y,,2020/21 | CEMPS Intranet | University of Exeter
Frontiers in Science 2,NSC2001,Natural Sciences,2,"1,2",30,,Y,N,N,N,N,N,N,"NSC1002, NSC1004, NSC1005",N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC2001&ay=2020/1
Physical Chemistry,NSC2002,Natural Sciences,2,2,15,,N,N,N,N,N,N,N,NSC1003,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC2002&ay=2020/1
Introduction to Numerics and Simulation for Scientists,NSC2003,Natural Sciences,2,1,15,,N,N,N,N,N,N,N,NSC1002,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSC2003&ay=2020/1
Ecology and the Environment,BIO2076,Biosciences,2,1,15,,N,N,N,,,,,"BIO1336, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2076&ay=2020/1
Structure and Reactivity of Organic Compounds,BIO2085,Biosciences,2,1,15,,N,N,N,,Y,Y,,"BIO1345, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2085&ay=2020/1
Advanced Cell Biology,BIO2088,Biosciences,2,1,15,,N,N,N,,Y,,,"BIO1339, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2088&ay=2020/1
Molecular Biology of the Gene,BIO2089,Biosciences,2,1,15,,N,N,N,,,,,"BIO1334, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2089&ay=2020/1
Analytical Techniques in Biochemistry,BIO2090,Biosciences,2,1,15,,N,N,N,,Y,Y,,"BIO1332, BIO1341, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2090&ay=2020/1
Bioinorganic Chemistry,BIO2091,Biosciences,2,2,15,,N,N,N,,,Y,,"BIO1332, BIO1343, BIO1340, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2091&ay=2020/1
Genomics and Introductory Bioinformatics,BIO2092,Biosciences,2,2,15,,N,N,N,,,,,"BIO1334, NSC1003",N/A,Y,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2092&ay=2020/1
Forensic Science,BIO2066,Biosciences,2,2,15,,N,N,N,,,,,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2066&ay=2020/1
Forensic Science,BIO2068,Biosciences,2,"1,2",30,,N,N,N,,,,,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2068&ay=2020/1
Marine Biology,BIO2074,Biosciences,2,2,15,,N,N,N,,,,,"BIO1331, BIO1336",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2074&ay=2020/1
Medical and General Microbiology,BIO2078,Biosciences,2,1,15,,N,N,N,,,,,BIO1337,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2078&ay=2020/1
Coral Reef Field Course,BIO2081,Biosciences,2,"1,2,3",15,,N,N,N,,,,,BIO1336,BIO2074,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2081&ay=2020/1
Animal Ecophysiology,BIO2082,Biosciences,2,1,15,,N,N,N,,,,,BIO1331,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2082&ay=2020/1
Metabolism,BIO2086,Biosciences,2,2,15,,N,N,N,,Y,Y,,"BIO1332, BIO1341, NSC1003",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2086&ay=2020/1
Modern Theories of Evolution,BIO2093,Biosciences,2,2,15,,N,N,N,,,,,"BIO1334, NSC1003",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2093&ay=2020/1
Molecular Microbiology,BIO2094,Biosciences,2,2,15,,N,N,N,,,,,"BIO1337, BIO1342",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2094&ay=2020/1
Pratical Skills in Field Ecology,BIO2096,Biosciences,2,3,15,,N,N,N,,,,,BIO1336,BIO2076,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2096&ay=2020/1
Molecular Plant Science,BIO2099,Biosciences,2,2,15,,N,N,N,,,,,"BIO1334, BIO1339",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2099&ay=2020/1
Diffrential Equations,MTH2003,Mathematics,2,1,15,,N,,N,N,N,N,,MTH1002,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2003
Vector Calculus and Applications,MTH2004,Mathematics,2,2,15,,N,,N,N,N,N,,MTH2003,MTH2003,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2004
Modelling: Theory and Practice,MTH2005,Mathematics,2,"1,2",30,,N,,N,N,N,N,,"MTH1002, MTH1003",MTH2003,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2005
Statistical Modelling and Inference,MTH2006,Mathematics,2,"1,2",30,,N,,N,N,N,N,,MTH1004,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2006
Real Analysis,MTH2008,Mathematics,2,1,15,,N,,N,N,N,N,,"MTH1001, MTH1002",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2008
Complex Analysis,MTH2009,Mathematics,2,2,15,,N,,N,N,N,N,,N/A,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2009
"Groups, Rings and Fields",MTH2010,Mathematics,2,1,15,,N,,N,N,N,N,,MTH1001,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2010
Linear Algebra,MTH2011,Mathematics,2,2,15,,N,,N,N,N,N,,MTH1001,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH2011
Electromagnetism 1,PHY2021,Physics,2,1,15,,N,N,Y,N,N,N,Y,PHY1026,,Y,,https://newton.ex.ac.uk/handbook/PHY/modules/PHY2021.html
Quantum Mechanics 1,PHY2022,Physics,2,1,15,,N,N,Y,N,N,N,Y,PHY1026,,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2022.html
Thermal Physics,PHY2023,Physics,2,2,15,,N,N,Y,N,N,N,Y,"PHY1024, PHY1026",PHY2025,Y,,https://newton.ex.ac.uk/handbook/PHY/modules/PHY2023.html
Condensed Matter 1,PHY2024,Physics,2,2,15,,N,N,Y,N,N,N,Y,"PHY1024, PHY2022",,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2024.html
Physics of Living Systems,PHY2029,Physics,2,2,15,,N,N,N,N,N,N,N,PHY1024,,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2029.html
Observing the Universe,PHY2030,Physics,2,2,15,,N,N,N,N,N,N,N,"PHY1021, PHY1022",,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2030.html
Mathematics with Physical Applications,PHY2025,Physics,2,"1,2",15,,N,N,Y,N,N,N,Y,PHY1026,,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2025.html
Scientific Programming in C,PHY2027,Physics,2,1,15,,N,N,Y,N,N,N,N,PHY1025,,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY2027.html
