Core name,Code,Department,Year,Term,Credits,Pre Req,Co Req,Module Descriptor,Category
Animals,BIO1331,Bio,1,1,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1331&ay=2021/2,Animals and Marine
Biochemistry,BIO1332,Bio,1,1,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1332&ay=2021/2,Chemistry
Fundamental Principles for Bioscientists,BIO1333,Bio,1,1,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1333&ay=2021/2,Misc
Genetics,BIO1334,Bio,1,1,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1334&ay=2021/2,Cell
Ecology,BIO1336,Bio,1,2,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1336&ay=2021/2,Ecology and plants
Microbiology,BIO1337,Bio,1,2,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1337&ay=2021/2,Cell
Plants,BIO1338,Bio,1,2,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1338&ay=2021/2,Ecology and plants
Cells,BIO1339,Bio,1,2,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1339&ay=2021/2,Cell
Fundamentals of Inorganic Chemistry,BIO1340,Bio,1,1,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1340&ay=2021/2,Chemistry
Structure and Reactivity of Organic Compounds I,BIO1345,Bio,1,2,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1345&ay=2021/2,Chemistry
Biophysical Chemistry,BIO1346,Bio,1,2,15,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO1346&ay=2021/2,Chemistry
Forensic Science,BIO2066,Bio,2,2,15,BIO1333,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2066&ay=2021/2,Misc
Forensic Science,BIO2068,Bio,2,12,30,,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2068&ay=2021/2,Misc
Research Skills and Bioethics,BIO2071,Bio,2,12,15,BIO1333,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2071&ay=2021/2,Misc
Marine Biology,BIO2074,Bio,2,2,15,BIO1331 and BIO1336,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2074&ay=2021/2,Animals and Marine
Ecology and the Environment,BIO2076,Bio,2,1,15,BIO1336 or NSC1003,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2076&ay=2021/2,Ecology and plants
Medical and General Microbiology,BIO2078,Bio,2,1,15,BIO1337,,https://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO2078&ay=2021/2,Cell
